GGXWDN_NGDP	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Finland	-53.218	-52.773	-48.638	-46.003	-45.811	-48.032	-49.424	-49.421	-51.688	-58.902	-62.606	-60.283	-44.031	-28.539	-29.099	-7.210	-6.614	-7.487	-14.056	-48.359	-30.078	-30.439	-30.231	-36.814	-44.742	-56.018	-66.520	-69.738	-49.968	-59.646	-61.760	-48.777	-50.301	-54.026	-50.222	-46.538	-42.660	-38.870	-35.358	-32.334	-29.749
France	NA	NA	NA	13.088	15.076	22.623	25.376	24.552	24.686	24.763	25.512	28.055	30.935	35.486	41.320	46.320	49.335	50.449	50.766	50.484	49.848	49.682	51.409	55.031	56.770	58.770	57.838	57.749	60.315	70.061	73.746	76.381	81.693	84.580	87.851	89.374	90.329	90.311	89.508	87.780	85.376
Gabon																																									
The Gambia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	121.737	125.027	156.014	152.389	135.120	135.995	140.551	60.909	63.922	62.583	69.639	77.274	76.955	83.323	101.141	107.714	101.727	93.465	85.515	81.147	74.708
Georgia																																									
Germany	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.084	22.109	24.653	26.619	33.879	37.100	38.728	40.451	42.287	39.222	40.444	43.069	47.059	49.241	51.794	51.301	48.366	48.146	54.465	56.242	54.593	54.008	53.067	51.377	48.378	46.404	44.552	42.570	40.171	38.118
Ghana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	98.199	84.588	81.796	54.040	43.770	21.923	23.259	30.099	32.555	43.032	38.760	46.996	52.895	66.130	70.445	68.003	63.955	58.475	54.367	51.219
Greece	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	152.819	172.145	174.977	194.056	202.801	199.147	192.658	185.222	178.536
Grenada																																									
Guatemala																																									
Guinea																																									
Guinea-Bissau																																									
Guyana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	130.208	135.740	121.065	120.190	129.660	133.745	121.251	118.644	116.075	94.157	58.874	57.303	59.947	61.208	63.327	61.330	52.342	56.754	58.560	59.323	60.370	60.651	60.135	58.851
Haiti																																									
Honduras																																									
Hong Kong SAR																																									
Hungary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.645	62.361	63.350	63.850	72.360	75.520	74.699	72.299	71.722	71.700	70.286	69.469	68.590	67.665	66.631	66.737
Iceland	NA	NA	0.444	5.706	5.614	5.850	8.732	7.879	9.542	16.838	18.486	19.210	25.877	33.793	36.765	38.639	38.296	36.489	40.967	36.266	34.755	39.911	37.083	35.761	29.798	18.723	20.427	17.560	53.340	66.273	65.724	61.699	63.905	62.590	55.813	50.764	46.260	41.866	40.740	40.126	38.725
India																																									
Indonesia																																									
Islamic Republic of Iran	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.583	15.889	17.879	12.097	6.434	-1.352	9.257	7.479	4.981	-0.526	-0.874	-2.675	-2.839	2.537	1.964	-2.663	5.790	-1.693	-2.012	1.488	1.183	0.141	-0.836	-1.680	-2.556
Iraq																																									
