"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Botswana","BWA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.82353","","26.50779","","20.4774","","","","","",
"Central African Republic","CAF","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.79589","9.93077","","9.21473","12.02802","12.06446","9.68047","10.05424","9.86948","7.86226","7.83039","6.47552","7.82546","","","",
"Canada","CAN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.52588","12.44565","12.74552","12.23379","12.1744","","","12.24745","","12.35893","12.06659","12.48877","12.38789","12.22708","","","",
"Central Europe and the Baltics","CEB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9202","10.09306","10.54554","10.594575","11.159655","10.562745","11.49107","10.52872","10.77913","10.35676","10.485605","9.785015","10.139235","","","",
"Switzerland","CHE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.15674","","","","","","","","","","","16.14197","15.949","15.89852","16.09951","","",
"Channel Islands","CHI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.44519","15.12567","15.63322","16.40149","","17.40728","17.60468","16.97488","16.12225","16.15792","16.64837","17.47809","17.1887","17.51402","17.50411","19.278","","",
"China","CHN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.55141","12.63156","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.33815","17.73494","20.52729","20.80695","23.20203","22.5923","22.64823","22.10716","21.84569","20.50635","21.86688","21.94258","","","","","","",
"Cameroon","CMR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6837","15.48914","","21.44202","20.84712","21.37761","20.31265","21.56822","15.58864","19.77979","18.75389","14.86777","15.17622","","",
"Congo, Rep.","COG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.74414","","","","11.59277","9.51995","8.56181","7.59782","","","","","29.01836","","","","",
"Colombia","COL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.47536","13.15193","13.28683","13.46772","15.29956","15.53726","15.43978","15.53561","13.76883","14.48145","14.67729","16.08117","16.41858","15.52914","15.51283","16.86588","",
"Comoros","COM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.65296","","","","15.78972","","","","","","29.23312","","","","","","",
"Cabo Verde","CPV","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.76623","","20.84048","","17.54058","18.32875","18.62308","16.16892","14.39624","15.15328","","14.97774","",
"Costa Rica","CRI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.92369","18.81951","19.15282","19.2405","20.15172","20.43089","","20.64339","21.02189","","","","","","","",
"Caribbean small states","CSS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.70982","13.61189","15.2074","15.881185","13.349095","11.73302","14.26937","","17.17305","19.11938","17.55284","16.10294","18.58193","18.80926","20.57386","",
"Cuba","CUB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
